id,url,title,headlines,objective_summary,level,image,instructors,publish_date,last_update_date
1088256,https://udemy.com/course/machine-learning-using-azureml/,A-Z Machine Learning using Azure Machine Learning (AzureML),"Azure ML (Machine Learning): Azure Machine Learning Studio, Machine Learning on cloud, Machine Learning without coding","['Master Data Science and Machine Learning Models using Azure ML.', 'Understand the concepts and intuition of Machine Learning algorithms', 'Build Machine Learning models within minutes']",All Levels,https://img-a.udemycdn.com/course/480x270/1088256_077d.jpg,"['Jitesh Khurkhuriya', ""Jitesh's Data Science & Machine Learning A-Z Team""]",2017-10-10,2020-06-08
2373842,https://udemy.com/course/complete-tensorflow-2-and-keras-deep-learning-bootcamp/,Complete Tensorflow 2 and Keras Deep Learning Bootcamp,Learn to use Python for Deep Learning with Google's latest Tensorflow 2 library and Keras!,"['Learn to use TensorFlow 2.0 for Deep Learning', 'Leverage the Keras API to quickly build models that run on Tensorflow 2', 'Perform Image Classification with Convolutional Neural Networks']",All Levels,https://img-a.udemycdn.com/course/480x270/2373842_a332_2.jpg,['Jose Portilla'],2019-11-20,2020-06-15
1647976,https://udemy.com/course/deep-learning-advanced-nlp/,Deep Learning: Advanced NLP and RNNs,"Natural Language Processing with Sequence-to-sequence (seq2seq), Attention, CNNs, RNNs, and Memory Networks!","['Build a text classification system (can be used for spam detection, sentiment analysis, and similar problems)', 'Build a neural machine translation system (can also be used for chatbots and question answering)', 'Build a sequence-to-sequence (seq2seq) model']",All Levels,https://img-a.udemycdn.com/course/480x270/1647976_0fdf.jpg,['Lazy Programmer Inc.'],2018-05-17,2020-06-20
1382702,https://udemy.com/course/machine-learning-course-with-python/,The Complete Machine Learning Course with Python,"Build a Portfolio of 12 Machine Learning Projects with Python, SVM, Regression, Unsupervised Machine Learning & More!","['Machine Learning Engineers earn on average $166,000 - become an ideal candidate with this course!', 'Solve any problem in your business, job or personal life with powerful Machine Learning models', 'Train machine learning algorithms to predict house prices, identify handwriting, detect cancer cells & more']",All Levels,https://img-a.udemycdn.com/course/480x270/1382702_a351.jpg,"['Codestars by Rob Percival', 'Anthony NG', 'Rob Percival']",2017-11-07,2020-01-20
772462,https://udemy.com/course/data-science-deep-learning-in-theano-tensorflow/,Modern Deep Learning in Python,"Build with modern libraries like Tensorflow, Theano, Keras, PyTorch, CNTK, MXNet. Train faster with GPU on AWS.","['Apply momentum to backpropagation to train neural networks', 'Apply adaptive learning rate procedures like AdaGrad, RMSprop, and Adam to backpropagation to train neural networks', 'Understand the basic building blocks of Theano']",All Levels,https://img-a.udemycdn.com/course/480x270/772462_d385.jpg,['Lazy Programmer Inc.'],2016-02-26,2020-06-04
1562640,https://udemy.com/course/r-programming-for-statistics-and-data-science/,R Programming for Statistics and Data Science 2020,R Programming for Data Science & Data Analysis. Applying R for Statistics and Data Visualization with GGplot2 in R,"['Learn the fundamentals of programming in R', 'Work with R’s conditional statements, functions, and loops', 'Build your own functions in R']",All Levels,https://img-a.udemycdn.com/course/480x270/1562640_6c9c_5.jpg,"['365 Careers', '365 Simona (The 365 Team)']",2018-02-22,2020-06-24
257414,https://udemy.com/course/r-level1/,R Level 1 - Data Analytics with R,Use R for Data Analytics and Data Mining,"['this course will show you how the most common types of graphs can be produced with R base', 'you will get a good understanding of functions and loops in R which are very useful programming skills to have', 'you will get the necessary theoretical background for R']",Beginner Level,https://img-a.udemycdn.com/course/480x270/257414_dc4d_2.jpg,['R-Tutorials Training'],2014-07-28,2019-04-04
1955654,https://udemy.com/course/machine-learning-with-javascript/,Machine Learning with Javascript,Master Machine Learning from scratch using Javascript and TensorflowJS with hands-on projects.,"['Assemble machine learning algorithms from scratch!', 'Build interesting applications using Javascript and ML techniques', 'Understand how ML works without relying on mysterious libraries']",Beginner Level,https://img-a.udemycdn.com/course/480x270/1955654_2ed0.jpg,['Stephen Grider'],2018-10-23,2020-07-01
1318112,https://udemy.com/course/python-data-science-machine-learning-bootcamp/,Complete 2020 Data Science & Machine Learning Bootcamp,"Learn Python, Tensorflow, Deep Learning, Regression, Classification, Neural Networks, Artificial Intelligence & more!","['You will learn how to program using Python through practical projects', 'Use data science algorithms to analyse data in real life projects such as spam classification and image recognition', 'Build a portfolio of data science projects to apply for jobs in the industry']",All Levels,https://img-a.udemycdn.com/course/480x270/1318112_faa8_4.jpg,"['Philipp Muellauer', 'Dr. Angela Yu']",2019-05-29,2020-01-23
1211566,https://udemy.com/course/r-programming-course-for-absolute-beginners/,R Programming For Absolute Beginners,Learn the basics of writing code in R - your first step to become a data scientist,"['Work with vectors, matrices and lists', 'Work with factors', 'Manage data frames']",Beginner Level,https://img-a.udemycdn.com/course/480x270/1211566_6d6a_3.jpg,['Bogdan Anastasiei'],2017-06-23,2017-06-23
992566,https://udemy.com/course/aws-machine-learning-a-complete-guide-with-python/,"2020 AWS SageMaker, AI and Machine Learning Specialty Exam",Complete Guide to AWS Certified Machine Learning (MLS-C01) - Specialty and Practice Test,"['Learn AWS Machine Learning algorithms, Predictive Quality assessment, Model Optimization', 'Integrate predictive models with your application using simple and secure APIs', 'Convert your ideas into highly scalable products in days']",All Levels,https://img-a.udemycdn.com/course/480x270/992566_aeb4_2.jpg,['Chandra Lingam'],2016-11-04,2020-06-29
944014,https://udemy.com/course/data-science-supervised-machine-learning-in-python/,Data Science: Supervised Machine Learning in Python,Full Guide to Implementing Classic Machine Learning Algorithms in Python and with Sci-Kit Learn,"['Understand and implement K-Nearest Neighbors in Python', 'Understand the limitations of KNN', 'User KNN to solve several binary and multiclass classification problems']",Beginner Level,https://img-a.udemycdn.com/course/480x270/944014_b9e0.jpg,['Lazy Programmer Inc.'],2016-09-15,2020-06-04
1420956,https://udemy.com/course/machine-learning-with-tensorflow-for-business-intelligence/,Deep Learning with TensorFlow 2.0 [2020],"Build Deep Learning Algorithms with TensorFlow 2.0, Dive into Neural Networks and Apply Your Skills in a Business Case","['Gain a Strong Understanding of TensorFlow - Google’s Cutting-Edge Deep Learning Framework', 'Build Deep Learning Algorithms from Scratch in Python Using NumPy and TensorFlow', 'Set Yourself Apart with Hands-on Deep and Machine Learning Experience']",All Levels,https://img-a.udemycdn.com/course/480x270/1420956_f8d8_4.jpg,"['365 Careers', '365 Careers Team']",2017-11-08,2020-01-23
1990136,https://udemy.com/course/ai-for-business/,Artificial Intelligence for Business,Solve Real World Business Problems with AI Solutions,"['OPTIMIZE BUSINESS PROCESSES', 'Master the General AI Framework', 'Implement Q-Learning']",Beginner Level,https://img-a.udemycdn.com/course/480x270/1990136_15e0_10.jpg,"['Hadelin de Ponteves', 'Kirill Eremenko', 'SuperDataScience Team']",2018-11-06,2020-06-02
1281492,https://udemy.com/course/deep-learning-gans-and-variational-autoencoders/,Deep Learning: GANs and Variational Autoencoders,"Generative Adversarial Networks and Variational Autoencoders in Python, Theano, and Tensorflow","['Learn the basic principles of generative models', 'Build a variational autoencoder in Theano and Tensorflow', 'Build a GAN (Generative Adversarial Network) in Theano and Tensorflow']",Intermediate Level,https://img-a.udemycdn.com/course/480x270/1281492_28d8_3.jpg,['Lazy Programmer Inc.'],2017-07-14,2020-06-04
690058,https://udemy.com/course/time-series-analysis-and-forecasting-in-r/,Introduction to Time Series Analysis and Forecasting in R,"Work with time series and all sorts of time related data in R - Forecasting, Time Series Analysis, Predictive Analytics","['use R to perform calculations with time and date based data', 'create models for time series data', 'use models for forecasting']",All Levels,https://img-a.udemycdn.com/course/480x270/690058_0f21_2.jpg,['R-Tutorials Training'],2015-12-21,2019-03-12
2158256,https://udemy.com/course/deployment-of-machine-learning-models/,Deployment of Machine Learning Models,Build Machine Learning Model APIs,"['Deploy machine learning models into the cloud', 'Build machine learning model APIs', 'Send and receive requests from deployed machine learning models']",Intermediate Level,https://img-a.udemycdn.com/course/480x270/2158256_031a.jpg,"['Soledad Galli', 'Christopher Samiullah']",2019-02-14,2020-06-22
